dancer_id,fullname,step_time,festival_day,final_total_steps,artist_name,set_attended,Start,End,Duration
6,"Juan Lopez","2022-09-03 19:37:00",Saturday,2567.0,DIESEL,58,"2022-09-03 19:30:00","2022-09-03 20:30:00",01:00:00
1,"Kevin McAllister","2022-09-03 19:38:00",Saturday,2099.5,DIESEL,58,"2022-09-03 19:30:00","2022-09-03 20:30:00",01:00:00
5,"Rafael Calvao","2022-09-03 20:26:00",Saturday,2035.0,CRISTOPH,60,"2022-09-03 20:15:00","2022-09-03 21:30:00",01:15:00
6,"Juan Lopez","2022-09-03 20:40:00",Saturday,2123.0,"SVDDEN DEATH",61,"2022-09-03 20:30:00","2022-09-03 21:45:00",01:15:00
4,"Jackie Pertillo","2022-09-03 20:45:00",Saturday,4172.5,"CHRIS LAKE",62,"2022-09-03 20:40:00","2022-09-03 21:40:00",01:00:00
2,"Alexandra Murcia","2022-09-03 20:49:00",Saturday,2798.0,"CHRIS LAKE",62,"2022-09-03 20:40:00","2022-09-03 21:40:00",01:00:00
1,"Kevin McAllister","2022-09-03 20:51:00",Saturday,3081.0,"CHRIS LAKE",62,"2022-09-03 20:40:00","2022-09-03 21:40:00",01:00:00
1,"Kevin McAllister","2022-09-03 21:31:00",Saturday,5433.0,CAMELPHAT,66,"2022-09-03 21:30:00","2022-09-03 23:00:00",01:30:00
5,"Rafael Calvao","2022-09-03 21:34:00",Saturday,3094.0,CAMELPHAT,66,"2022-09-03 21:30:00","2022-09-03 23:00:00",01:30:00
4,"Jackie Pertillo","2022-09-03 21:51:00",Saturday,6247.5,JAUZ,64,"2022-09-03 21:45:00","2022-09-03 23:00:00",01:15:00
6,"Juan Lopez","2022-09-03 21:53:00",Saturday,1404.0,JAUZ,64,"2022-09-03 21:45:00","2022-09-03 23:00:00",01:15:00
6,"Juan Lopez","2022-09-03 21:53:00",Saturday,1404.0,PEEKABOO,65,"2022-09-03 21:45:00","2022-09-03 23:00:00",01:15:00
2,"Alexandra Murcia","2022-09-03 22:07:00",Saturday,2545.0,CAMELPHAT,66,"2022-09-03 21:30:00","2022-09-03 23:00:00",01:30:00
2,"Alexandra Murcia","2022-09-04 15:02:00",Sunday,4081.0,"DJ HOLOGRAPHIC",74,"2022-09-04 15:00:00","2022-09-04 16:30:00",01:30:00
1,"Kevin McAllister","2022-09-04 15:05:00",Sunday,2102.5,"TRUTH X LIES",76,"2022-09-04 15:00:00","2022-09-04 16:00:00",01:00:00
1,"Kevin McAllister","2022-09-04 15:05:00",Sunday,2951.0,"DJ HOLOGRAPHIC",74,"2022-09-04 15:00:00","2022-09-04 16:30:00",01:30:00
1,"Kevin McAllister","2022-09-04 16:08:00",Sunday,1936.0,LUCATI,79,"2022-09-04 16:00:00","2022-09-04 17:00:00",01:00:00
2,"Alexandra Murcia","2022-09-04 16:14:00",Sunday,1235.0,LUCATI,79,"2022-09-04 16:00:00","2022-09-04 17:00:00",01:00:00
2,"Alexandra Murcia","2022-09-04 16:34:00",Sunday,4175.0,"CHELINA MANUHUTU",81,"2022-09-04 16:30:00","2022-09-04 18:00:00",01:30:00
1,"Kevin McAllister","2022-09-04 16:38:00",Sunday,3383.0,"CHELINA MANUHUTU",81,"2022-09-04 16:30:00","2022-09-04 18:00:00",01:30:00
6,"Juan Lopez","2022-09-04 17:12:00",Sunday,1054.0,ARMNHMR,84,"2022-09-04 17:10:00","2022-09-04 18:10:00",01:00:00
5,"Rafael Calvao","2022-09-04 17:12:00",Sunday,261.0,ARMNHMR,84,"2022-09-04 17:10:00","2022-09-04 18:10:00",01:00:00
1,"Kevin McAllister","2022-09-04 17:14:00",Sunday,1860.5,ARMNHMR,84,"2022-09-04 17:10:00","2022-09-04 18:10:00",01:00:00
5,"Rafael Calvao","2022-09-04 18:10:00",Sunday,1088.0,GORDO,88,"2022-09-04 18:10:00","2022-09-04 19:10:00",01:00:00
1,"Kevin McAllister","2022-09-04 18:11:00",Sunday,4489.0,GORDO,88,"2022-09-04 18:10:00","2022-09-04 19:10:00",01:00:00
6,"Juan Lopez","2022-09-04 18:15:00",Sunday,1788.0,GORDO,88,"2022-09-04 18:10:00","2022-09-04 19:10:00",01:00:00
2,"Alexandra Murcia","2022-09-04 18:16:00",Sunday,4029.0,GORDO,88,"2022-09-04 18:10:00","2022-09-04 19:10:00",01:00:00
4,"Jackie Pertillo","2022-09-04 19:10:00",Sunday,3456.0,SUBTRONICS,91,"2022-09-04 19:10:00","2022-09-04 20:10:00",01:00:00
6,"Juan Lopez","2022-09-04 19:16:00",Sunday,2670.5,SUBTRONICS,91,"2022-09-04 19:10:00","2022-09-04 20:10:00",01:00:00
5,"Rafael Calvao","2022-09-04 19:16:00",Sunday,1041.0,SUBTRONICS,91,"2022-09-04 19:10:00","2022-09-04 20:10:00",01:00:00
2,"Alexandra Murcia","2022-09-04 19:31:00",Sunday,3505.0,"LOCO DICE",92,"2022-09-04 19:30:00","2022-09-04 21:00:00",01:30:00
5,"Rafael Calvao","2022-09-04 19:37:00",Sunday,732.0,"LOCO DICE",92,"2022-09-04 19:30:00","2022-09-04 21:00:00",01:30:00
1,"Kevin McAllister","2022-09-04 19:38:00",Sunday,5176.0,"LOCO DICE",92,"2022-09-04 19:30:00","2022-09-04 21:00:00",01:30:00
6,"Juan Lopez","2022-09-04 19:39:00",Sunday,1452.5,"LOCO DICE",92,"2022-09-04 19:30:00","2022-09-04 21:00:00",01:30:00
4,"Jackie Pertillo","2022-09-04 20:10:00",Sunday,3833.0,"SEVEN LIONS",95,"2022-09-04 20:10:00","2022-09-04 21:10:00",01:00:00
4,"Jackie Pertillo","2022-09-04 21:01:00",Sunday,6898.0,"CARL COX",98,"2022-09-04 21:00:00","2022-09-04 23:00:00",02:00:00
2,"Alexandra Murcia","2022-09-04 21:05:00",Sunday,6410.0,"CARL COX",98,"2022-09-04 21:00:00","2022-09-04 23:00:00",02:00:00
5,"Rafael Calvao","2022-09-04 21:10:00",Sunday,3852.0,"CARL COX",98,"2022-09-04 21:00:00","2022-09-04 23:00:00",02:00:00
1,"Kevin McAllister","2022-09-04 21:12:00",Sunday,5675.0,"CARL COX",98,"2022-09-04 21:00:00","2022-09-04 23:00:00",02:00:00
6,"Juan Lopez","2022-09-04 21:13:00",Sunday,2033.5,"CARL COX",98,"2022-09-04 21:00:00","2022-09-04 23:00:00",02:00:00
4,"Jackie Pertillo","2022-09-04 21:45:00",Sunday,3603.5,CLOZEE,100,"2022-09-04 21:45:00","2022-09-04 23:00:00",01:15:00
